epoch,train_loss,validation_loss,is_best,epochs_without_improvement
0,,7.3150506019592285,True,0
1,4.608038266499837,7.473484516143799,False,1
2,4.573757489522298,7.302740097045898,True,0
3,4.5557905832926435,7.316701412200928,False,1
4,4.5537153879801435,7.263894557952881,True,0
5,4.535450299580892,7.255733013153076,True,0
6,4.5336887041727705,7.236520767211914,True,0
7,4.522648334503174,7.194470405578613,True,0
8,4.513997872670491,7.21269416809082,False,1
9,4.504995187123616,7.213368892669678,False,2
10,4.505284786224365,7.184390068054199,True,0
11,4.497994263966878,7.138618469238281,True,0
12,4.48340368270874,7.130717754364014,True,0
13,4.47635555267334,7.122344970703125,True,0
14,4.467977046966553,7.120792388916016,True,0
15,4.463573455810547,7.094013214111328,True,0
16,4.453042984008789,7.109250545501709,False,1
17,4.453604062398274,7.054970741271973,True,0
18,4.438875039418538,7.07109260559082,False,1
19,4.4362287521362305,7.032256126403809,True,0
20,4.430730024973552,7.0313334465026855,True,0
21,4.431737899780273,7.022088050842285,True,0
22,4.4123202959696455,7.020035743713379,True,0
23,4.408005396525065,6.992453098297119,True,0
24,4.406781832377116,7.010684013366699,False,1
25,4.402698357899983,6.939323902130127,True,0
26,4.389992554982503,6.963520050048828,False,1
27,4.389194806416829,6.956890106201172,False,2
28,4.376601854960124,6.943197250366211,False,3
29,4.371719201405843,6.931024551391602,True,0
30,4.366624514261882,6.890748023986816,True,0
31,4.364023844401042,6.8823981285095215,True,0
32,4.351467768351237,6.90458869934082,False,1
33,4.348221937815349,6.885412216186523,False,2
34,4.339532852172852,6.8848443031311035,False,3
35,4.338497002919515,6.8269171714782715,True,0
36,4.331141471862793,6.837645053863525,False,1
37,4.324849287668864,6.856113433837891,False,2
38,4.315683523813884,6.823696136474609,True,0
39,4.315635999043782,6.822106838226318,True,0
40,4.311253706614177,6.822099208831787,False,1
41,4.305516878763835,6.806574821472168,True,0
42,4.306045214335124,6.75736665725708,True,0
43,4.29334020614624,6.792914390563965,False,1
44,4.286411126454671,6.7682013511657715,False,2
45,4.291736284891765,6.776124477386475,False,3
46,4.2728597323099775,6.749387264251709,True,0
47,4.272571086883545,6.729887962341309,True,0
48,4.266213575998942,6.725879669189453,True,0
49,4.265531698862712,6.722404479980469,True,0
50,4.256385485331218,6.716897487640381,True,0
51,4.247334321339925,6.707048416137695,True,0
52,4.248563130696614,6.725011348724365,False,1
53,4.241801738739014,6.693707466125488,True,0
54,4.237593491872151,6.666819095611572,True,0
55,4.226368586222331,6.671845436096191,False,1
56,4.228591124216716,6.653810977935791,True,0
57,4.214288870493571,6.660729885101318,False,1
58,4.218651453653972,6.640589237213135,True,0
59,4.207988897959392,6.663058280944824,False,1
60,4.206387996673584,6.624741077423096,True,0
61,4.204543113708496,6.648803234100342,False,1
62,4.196928819020589,6.642470359802246,False,2
63,4.190098762512207,6.62252950668335,True,0
64,4.1939670244852705,6.593400478363037,True,0
65,4.1851731936136884,6.616543292999268,False,1
66,4.179454485575358,6.641250133514404,False,2
67,4.170930862426758,6.574672222137451,True,0
68,4.170764287312825,6.571165561676025,True,0
69,4.171728769938151,6.593229293823242,False,1
70,4.1639054616292315,6.574012756347656,False,2
71,4.156929016113281,6.575002670288086,False,3
72,4.164917945861816,6.562982559204102,True,0
73,4.15433390935262,6.569451332092285,False,1
74,4.147922039031982,6.570058345794678,False,2
75,4.138940175374349,6.530521869659424,True,0
76,4.134912490844727,6.542569637298584,False,1
77,4.126291592915853,6.538896083831787,False,2
78,4.12973674138387,6.51727819442749,True,0
79,4.127857685089111,6.554885387420654,False,1
80,4.1171189943949384,6.500885963439941,True,0
81,4.110862175623576,6.505842208862305,False,1
82,4.111340522766113,6.522213459014893,False,2
83,4.106232166290283,6.4815754890441895,True,0
84,4.104084491729736,6.493320941925049,False,1
85,4.099435806274414,6.4855475425720215,False,2
86,4.098495006561279,6.498937606811523,False,3
87,4.094691117604573,6.4997639656066895,False,4
88,4.088467439015706,6.4805145263671875,True,0
