split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae_ml14_fusion,threshold,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,125.030001,125.030001
split_00,0,dense_ae_ml14_fusion,cusum,advisory,external_position_anomaly,185,0,0.0,4,2.7663557002777774,1.4459456531921577,,
split_00,0,dense_ae_ml14_fusion,cusum,advisory,global_position_anomaly,51,1,0.0196078431372549,4,0.6878973927777778,5.814820701453337,44.960684999999984,44.960684999999984
split_00,0,dense_ae_ml14_fusion,cusum,advisory,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,dense_ae_ml14_fusion,cusum,advisory,normal,0,0,,99,27.959377571111112,3.540851356515578,,
split_00,0,dense_ae_itki_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
