policy,domain,fault_family,flights,detected,recall
advisory,HIL,Motor,16,15,0.9375
advisory,HIL,Propeller,2,2,1.0
advisory,HIL,Sensor,12,10,0.8333333333333334
advisory,Real,Motor,4,2,0.5
advisory,Real,Sensor,4,1,0.25
advisory,SIL,Motor,16,16,1.0
advisory,SIL,Propeller,6,5,0.8333333333333334
advisory,SIL,Sensor,9,3,0.3333333333333333
critical,HIL,Motor,16,13,0.8125
critical,HIL,Propeller,2,2,1.0
critical,HIL,Sensor,12,5,0.4166666666666667
critical,Real,Motor,4,0,0.0
critical,Real,Sensor,4,0,0.0
critical,SIL,Motor,16,15,0.9375
critical,SIL,Propeller,6,5,0.8333333333333334
critical,SIL,Sensor,9,3,0.3333333333333333
